family,cvine,dvine,rvine
all,-11523.938131836123,-11492.005022655467,-11539.135873321095
parametrics_except_tll,-13128.154945924489,-13205.54699213666,-13251.616960287223
nonparametrics_indep_tll,-11524.404974983774,-11492.358535325959,-11539.38441612877
oneparam,-12576.36456558065,-12640.519776482917,-12738.214235614809
twoparam,-13128.154945924489,-13205.54699213666,-13249.594826941171
ellipticals,-13066.445877063643,-13134.117082779552,-13133.6658521602
arch,-12359.292759795158,-12404.630932290076,-12630.260499929602
kendalls_inversion,-13141.374939390958,-13218.158817318266,-13219.14140827936
kernel_transform,-11523.817534747392,-11491.68029658831,-11538.339440319458
epllip_archimed,-13141.374939390958,-13218.158817318266,-13219.14140827936
