family,cvine,dvine,rvine
all,161.79622817737982,218.84765801362482,118.0194401756653
parametrics_except_tll,-12724.423483278424,-12801.815529490596,-12853.492879066798
nonparametrics_indep_tll,159.79737394601216,217.35649006531276,117.39022676018249
oneparam,-12374.498834257618,-12438.654045159885,-12536.348504291776
twoparam,-12724.423483278424,-12801.815529490596,-12845.863364295106
ellipticals,-12679.536558694497,-12758.422527261686,-12746.756533791055
arch,-12157.427028472126,-12202.765200967044,-12428.39476860657
kendalls_inversion,-12810.539435278211,-12904.145457482438,-12899.520667017892
kernel_transform,163.9503773709439,220.03363179413645,119.08961028538943
epllip_archimed,-12810.539435278211,-12904.145457482438,-12899.520667017892
