family,cvine,dvine,rvine
all,7370.465977440534,7365.290723435582,7380.472335338789
parametrics_except_tll,6215.603269157366,6287.433439445902,6292.899871250054
nonparametrics_indep_tll,7370.3967494786775,7365.075128321108,7380.53842864596
oneparam,5900.240938848064,6000.267592946765,5990.054367524577
twoparam,6215.603269157366,6287.390221909305,6292.899871250054
ellipticals,6169.059053183558,6236.805180213028,6230.353819805098
arch,5792.925981363816,5988.530736402011,5933.535040678912
kendalls_inversion,6203.866142078079,6269.269741676765,6252.624036089862
kernel_transform,7370.506531723215,7364.997580809127,7380.494871085639
epllip_archimed,6203.866142078079,6269.269741676765,6252.624036089862
