cvine.AIC,cvine.BIC,cvine.Log.likelihood,dvine.AIC,dvine.BIC,dvine.Log.likelihood,rvine.AIC,rvine.BIC,rvine.Log.likelihood
-10237.029170719776,1683.6962647677374,7244.4133838578655,-10276.182570595902,1426.46363072659,7225.098626694785,-10259.33657511116,1452.4859132496385,7218.312094593283
-11914.773269903497,-11516.649188683072,6028.386634951748,-12044.320841763456,-11646.19676054303,6093.160420881728,-12011.972751378034,-11613.84867015761,6076.986375689017
-10237.029170719776,1683.6962647677374,7244.4133838578655,-10276.182570595902,1426.46363072659,7225.098626694785,-10259.33657511116,1452.4859132496385,7218.312094593283
-11403.169782100984,-11201.304050777951,5737.584891050492,-11528.536373284034,-11326.670641961002,5800.268186642017,-11524.357975211573,-11322.49224388854,5798.1789876057865
-11912.773240194232,-11509.041777548167,6028.386620097116,-12042.320953419721,-11638.589490773657,6093.160476709861,-12009.2865758,-11605.555113153936,6076.6432879
-11809.979759948677,-11417.463060153892,5974.989879974339,-11928.964864986337,-11542.055546617192,6033.482432493169,-11899.842488184058,-11512.933169814913,6018.921244092029
-11184.432157147136,-10982.566425824103,5628.216078573568,-11525.762249683059,-11323.896518360027,5798.8811248415295,-11413.287675099338,-11211.421943776306,5742.643837549669
-11906.660972605861,-11570.218087067475,6013.330486302931,-12058.257900150722,-11744.244540314894,6085.128950075361,-11973.476992771304,-11665.071014361116,6041.738496385652
-10237.029170719776,1683.6962647677374,7244.4133838578655,-10276.182570595902,1426.46363072659,7225.098626694785,-10259.33657511116,1452.4859132496385,7218.312094593283
-11906.660972605861,-11570.218087067475,6013.330486302931,-12058.257900150722,-11744.244540314894,6085.128950075361,-11973.476992771304,-11665.071014361116,6041.738496385652
